age,shopped_on_date,amount_spent_on_last_purchase,no_of_times_shopped_on_2019,relevant_offers_channel,total_amount_spent_in_2019,customer_buy_clothes_from,preferred_purchase_channel,gender,items_interested_to_purchase_by_female,items_interested_to_purchase_by_male
29,2/15/2020,3200,4,"Facebook, Ecomm Applications",20000,"New Arrivals, Discounts, Clearance Sale",Online,Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%)"
36,2/22/2020,2500,10,"Facebook, TV advertisement, online sites",15000,"New Arrivals, Discounts, Clearance Sale","Mall, Factory outlets, Online, Roadside",Male,,"Men Assorted Checked Boxers  Rs 377(MRP :419,Discount:10%), Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Black Solid Two Fold Genuine Leather Wallet  Rs 1599(MRP :1999,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Men Navy Blue & Maroon Slim Fit Striped Formal Trousers Rs 1379(MRP: 1699,  Discount: 40 %), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
27,10/6/1992,2500,20,"Facebook, Instagram, SMS",40000,"New Arrivals, Discounts, Clearance Sale","Mall, Online",Male,,
28,2/22/2020,50000,20,"Facebook, Instagram, Newspapers, TV advertisement",200000,"New Arrivals, Discounts, Clearance Sale","Mall, Factory outlets",Male,,"Men Assorted Checked Boxers  Rs 377(MRP :419,Discount:10%), Men Black Solid AS M NKCT DRI-FIT POLO T-shirt Rs 1756(MRP :2195,Discount:20%), Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans Rs 4899(MRP :6999,Discount:30%), Men Blue Slim Fit Solid Formal Shirt Rs 1990(MRP :2844,Discount:30%), Mast Harbour Men Black Regular Fit Solid Joggers  Rs 1019(MRP: 1699,  Discount: 40 %)"
70,1/6/1950,3000,1.4,Tinder,50,"New Arrivals, Discounts, Clearance Sale","Mall, Roadside",Male,,
27,6/10/1992,2500,25,"Facebook, Instagram, SMS",50000,"New Arrivals, Discounts, Clearance Sale","Mall, Online",Male,,"Men Black Solid AS M NKCT DRI-FIT POLO T-shirt, Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans, Men Blue Slim Fit Solid Formal Shirt, Men Navy Blue & Maroon Slim Fit Striped Formal Trousers"
27,12/27/1991,3000,30,"Facebook, Instagram, SMS",60000,"New Arrivals, Discounts, Clearance Sale","Mall, Online",Female,"Women Blue Regular Fit Mid-Rise Highly Distressed Jeans, Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans, Women White Crepe Blouse, Women Silver-Toned 2-Pack Necklaces, Women White & Navy Blue Regular Fit Striped Formal Trousers, Black Super Push-Up Lace Bra",
32,2/25/2020,3000,8,"Facebook, Email, SMS, Shopping app notifications",10000,"New Arrivals, Discounts, Clearance Sale",Online,Female,"Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women White Crepe Blouse  Rs 1799(MRP :1999,Discount:10 %), Black Solid Handheld Bag  Rs 5990, Women Silver-Toned 2-Pack Necklaces  Rs 419(MRP :599,Discount:30 %), Black Super Push-Up Lace Bra  Rs 1349(MRP :1499,Discount:10%)",
22,1/2/2020,6000,4,"Email, SMS, Newspapers, Flyers",18000,"New Arrivals, Discounts, Clearance Sale",Mall,Female,"Women Blue Regular Fit Mid-Rise Highly DistressedJeans Rs 5995, Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women Navy Blue Regular Fit Solid Formal Shirt Rs 1592(MRP :1990,Discount:20 %), Women White Crepe Blouse  Rs 1799(MRP :1999,Discount:10 %), Women White Solid Top with Belt  Rs 2872(MRP :3590,Discount:20 %), Women Pink Solid Off-The-Shoulder Top   Rs 899(MRP :999,Discount:10 %), Black Solid Handheld Bag  Rs 5990, Women Silver-Toned 2-Pack Necklaces  Rs 419(MRP :599,Discount:30 %), Women Black Solid Pencil Skirt  Rs 2600(MRP :4000,Discount:35 %), Women White & Navy Blue Regular Fit Striped Formal Trousers   Rs 2513(MRP :3590,Discount:30%), Black Super Push-Up Lace Bra  Rs 1349(MRP :1499,Discount:10%), Women Black Non-wired Lace Push-up Bra Rs 1349(MRP :1499,Discount:10%), DOROTHY PERKINS Women Skirt Rs 1554(MRP :2590,Discount:40%), MANGO Women Trousers Rs 2793 (MRP :3990,Discount:10%)",
43,2/2/2020,12000,6,"Newspapers, Flyers",25000,"New Arrivals, Discounts, Clearance Sale",Mall,Female,"Women Blue Skinny Fit Mid-Rise Mildly Distressed Stretchable Jeans Rs 5599(MRP :6999,Discount:20 %), Women Navy Blue Regular Fit Solid Formal Shirt Rs 1592(MRP :1990,Discount:20 %), Women White Crepe Blouse  Rs 1799(MRP :1999,Discount:10 %), Women White Solid Top with Belt  Rs 2872(MRP :3590,Discount:20 %), Black Solid Handheld Bag  Rs 5990, Women Silver-Toned 2-Pack Necklaces  Rs 419(MRP :599,Discount:30 %), Women White & Navy Blue Regular Fit Striped Formal Trousers   Rs 2513(MRP :3590,Discount:30%)",
40,2/3/2020,2000,10,"Facebook, Instagram, Email",20000,"Initial discount, Clearance Sale(Deep discount)","Mall, Online",Female,"Myntra DressBerry - Women Blue Solid Pinafore Dress (Rs 989, 40% off), H&M V-neck Blouse (Rs 1599,No Discount), Myntra - Anubhutee Teal Kurta with Palazzos - Rs 999 (50% off)",
24,2/9/2020,124,24,"Facebook, Email, Newspapers",121,"Initial discount, Clearance Sale(Deep discount)","Mall, Online",Female,"Myntra DressBerry - Women Blue Solid Pinafore Dress (Rs 989, 40% off), H&M V-neck Blouse (Rs 1599,No Discount), Myntra - Panit - Olive Regular Fit Cropped Trousers - 499 (60% off)",
