td_sku_nbr,td_chain_nbr,td_last_update_dt
600309890,7,10/12/2017
600329687,7,10/23/2017
600336063,7,10/25/2017
600336064,7,10/25/2017
600336065,7,10/25/2017
600336060,7,10/25/2017
600336059,7,10/25/2017
600336061,7,10/25/2017
600014587,7,11/1/2017
600336958,7,11/6/2017
600338966,7,11/6/2017
600014574,7,11/19/2017
600345629,7,11/20/2017
600342700,7,11/20/2017
600352632,7,12/6/2017
600351410,7,12/8/2017
600352935,7,12/11/2017
600341524,7,12/12/2017
600359387,7,12/29/2017
600044860,7,12/30/2017
600044869,7,12/30/2017
600360963,7,1/5/2018
600367249,7,1/16/2018
600366298,7,1/16/2018
600365382,7,1/18/2018
600044858,7,1/27/2018
600044868,7,1/27/2018
600372832,7,2/1/2018
600372825,7,2/1/2018
600375149,7,2/5/2018
600375262,7,2/5/2018
600375267,7,2/5/2018
600375727,7,2/6/2018
600375728,7,2/6/2018
600375732,7,2/6/2018
600375734,7,2/6/2018
600375739,7,2/6/2018
600375737,7,2/6/2018
600375743,7,2/6/2018
600375729,7,2/6/2018
600375730,7,2/6/2018
600375731,7,2/6/2018
600375733,7,2/6/2018
600375735,7,2/6/2018
600372146,7,2/6/2018
600376843,7,2/9/2018
600376842,7,2/9/2018
600376839,7,2/9/2018
600364554,7,2/12/2018
600376601,7,2/13/2018
600376598,7,2/13/2018
600376596,7,2/13/2018
600376599,7,2/13/2018
600376604,7,2/13/2018
600376600,7,2/13/2018
600376603,7,2/13/2018
600376602,7,2/13/2018
600378496,7,2/14/2018
600378486,7,2/14/2018
600378722,7,2/15/2018
600383682,7,2/28/2018
600383689,7,2/28/2018
600383690,7,2/28/2018
600383660,7,2/28/2018
600383706,7,2/28/2018
600383678,7,2/28/2018
600383672,7,2/28/2018
600383707,7,2/28/2018
600383675,7,2/28/2018
600383702,7,2/28/2018
600383668,7,2/28/2018
600383694,7,2/28/2018
600383684,7,2/28/2018
600383691,7,2/28/2018
600383695,7,2/28/2018
600383681,7,2/28/2018
600383697,7,2/28/2018
600383704,7,2/28/2018
600383699,7,2/28/2018
600383701,7,2/28/2018
600383692,7,2/28/2018
600383679,7,2/28/2018
600383703,7,2/28/2018
600383708,7,2/28/2018
600383685,7,2/28/2018
600383677,7,2/28/2018
600383696,7,2/28/2018
600383700,7,2/28/2018
600383673,7,2/28/2018
600383676,7,2/28/2018
600383686,7,2/28/2018
600383670,7,2/28/2018
600383705,7,2/28/2018
600383693,7,2/28/2018
600383674,7,2/28/2018
600383683,7,2/28/2018
600383711,7,2/28/2018
600383680,7,2/28/2018
600383687,7,2/28/2018
600391441,7,3/8/2018
600395531,7,3/29/2018
600395529,7,3/29/2018
600044870,7,3/31/2018
600406860,7,4/3/2018
600406865,7,4/3/2018
600411314,7,4/6/2018
600044866,7,4/10/2018
600365410,7,4/10/2018
600364797,7,4/11/2018
600044857,7,4/18/2018
600386114,7,4/24/2018
600386116,7,4/24/2018
600420307,7,4/25/2018
600420311,7,4/25/2018
600420304,7,4/25/2018
600420309,7,4/25/2018
600420312,7,4/25/2018
600420350,7,4/25/2018
600420313,7,4/25/2018
600192651,7,4/28/2018
600192645,7,4/28/2018
600014584,7,5/1/2018
600014595,7,5/1/2018
600007478,7,5/1/2018
600007464,7,5/1/2018
600069225,7,5/1/2018
600007473,7,5/1/2018
600421445,7,5/1/2018
600007474,7,5/1/2018
600069226,7,5/1/2018
600007471,7,5/1/2018
600007468,7,5/1/2018
600007476,7,5/1/2018
600007477,7,5/1/2018
600007472,7,5/1/2018
600069223,7,5/1/2018
600007469,7,5/1/2018
600421447,7,5/1/2018
600007470,7,5/1/2018
600007475,7,5/1/2018
600069224,7,5/1/2018
600423238,7,5/7/2018
600426130,7,5/11/2018
600426133,7,5/11/2018
600426136,7,5/11/2018
600426132,7,5/11/2018
600426135,7,5/11/2018
600432762,7,6/1/2018
600432770,7,6/1/2018
600427647,7,6/4/2018
210035690,7,6/9/2018
210035692,7,6/9/2018
210035689,7,6/9/2018
600435616,7,6/11/2018
600435531,7,6/21/2018
600435541,7,6/21/2018
600441210,7,6/26/2018
600441205,7,6/26/2018
600447433,7,6/27/2018
600208012,7,6/30/2018
600208014,7,6/30/2018
600044865,7,6/30/2018
600044867,7,6/30/2018
600208013,7,6/30/2018
600014629,7,7/3/2018
600014569,7,7/3/2018
600014564,7,7/3/2018
600450430,7,7/3/2018
600014576,7,7/3/2018
600014548,7,7/3/2018
600014580,7,7/3/2018
600443169,7,7/10/2018
600443123,7,7/10/2018
600443097,7,7/10/2018
600443166,7,7/10/2018
600443150,7,7/10/2018
