txn_item_id,txn_id,txn_nbr,txn_source_cd,brand_cd,txn_item_nbr,store_nbr,register_nbr,txn_dt,txn_time,txn_type_cd,txn_channel_cd,txn_status_cd,orig_web_txn_id,bill_indiv_id,bill_hh_id,bill_addr_id,bill_usps_geo_id,alloc_indiv_id,alloc_hh_id,alloc_addr_id,email_id,rm_method_cd,rm_vendor_cd,rm_dt,cashier_emp_nbr,emp_purch_ind,zip_capture_ind,email_capture_ind,new_email_ind,bankcard_ind,plcc_ind,cash_ind,gc_ind,international_ind,tax_jurisdiction,ip_address,product_id,item_status_cd,item_gift_ind,item_last_ship_dt,ship_method_cd,ship_indiv_id,ship_hh_id,ship_addr_id,ship_usps_geo_id,item_list_price,item_sold_qty,item_sold_price,item_cogs,item_gross_amt,item_disc_amt,item_giftcard_amt,item_adj_cd,item_adj_amt,item_net_amt,item_ret_from_txn_id,item_ret_cd,item_ret_dt,item_ret_qty,item_ret_amt,full_price_ind,item_ret_from_store_nbr,originoforder,source_keycode,full_price_flg,pickup_type,pickup_store_nbr,partner_cd,bopis_item_adj_cd
1659146575,543251695,2251:5:20190520:20745,AW,ATF,6,2251,5,2019-05-20 17:05:00 UTC,13:59:03,EXC,RET,C,0,0,0,0,0,0,0,0,41000303,,,,6762356,0,0,1,1,0,0,0,0,,,,901941,,0,,,0,0,0,0,54.99000168,0,0,8.010000229,0,0,0,,0,0,0,17,2019-05-20 17:05:00 UTC,1,27.98999977,1,2251,,,,,,,
1659173514,543251695,2251:5:20190520:20745,AW,ATF,1,2251,5,2019-05-20 17:05:00 UTC,13:59:03,EXC,RET,C,0,0,0,0,0,0,0,0,41000303,,,,6762356,0,0,1,1,0,0,0,0,,,,3131089,,0,,,0,0,0,0,79.98999786,0,0,10.38000011,0,0,0,,0,0,542625101,17,2019-05-20 17:05:00 UTC,1,47.99000168,1,2251,,,,,,,
1656440681,542223399,2253:3:20190511:17062,AW,ATF,1,2253,3,2019-05-11 17:05:00 UTC,11:24:41,EXC,RET,C,0,0,0,0,0,0,0,0,8427809,,,,311717,0,0,1,0,0,0,1,0,,,,3111421,,0,,,0,0,0,0,54.99000168,1,54.99000168,7.940000057,54.99000168,54.99000168,0,,0,0,0,,,0,0,0,0,,,,,,,
1657063670,542484630,2506:2:20190513:23668,AW,AT,1,2506,2,2019-05-13 17:05:00 UTC,11:11:48,EXC,RET,C,0,0,0,0,0,0,0,0,39327383,,,,6792981,0,0,1,0,0,0,0,0,,,,2984621,,0,,,0,0,0,0,89,0,0,16.90999985,0,0,0,,0,0,542100746,17,2019-05-13 17:05:00 UTC,1,53.40000153,1,2506,,,,,,,
1657771059,542771170,2517:11:20190516:8233,AW,AT,1,2517,11,2019-05-16 17:05:00 UTC,16:57:10,EXC,RET,C,0,0,0,0,0,0,0,0,45030217,,,,315344,0,0,1,0,0,0,0,0,,,,849412,,0,,,0,0,0,0,39.5,1,39.5,6.289999962,39.5,19.75,0,,0,19.75,0,,,0,0,1,0,,,,,,,
1657771060,542771170,2517:11:20190516:8233,AW,AT,5,2517,11,2019-05-16 17:05:00 UTC,16:57:10,EXC,RET,C,0,0,0,0,0,0,0,0,45030217,,,,315344,0,0,1,0,0,0,0,0,,,,3119803,,0,,,0,0,0,0,39.5,0,0,6.289999962,0,0,0,,0,0,0,17,2019-05-16 17:05:00 UTC,1,19.75,1,0,,,,,,,
1656881523,542368215,2519:1:20190512:15431,AW,AT,1,2519,1,2019-05-12 17:05:00 UTC,14:13:15,EXC,RET,C,0,0,0,0,0,0,0,0,5682039,,,,454160,0,0,1,0,0,0,0,0,,,,3104828,,0,,,0,0,0,0,149,1,88.98999786,22.93000031,88.98999786,44.5,0,,0,44.49000168,0,,,0,0,0,0,,,,,,,
1656881524,542368215,2519:1:20190512:15431,AW,AT,6,2519,1,2019-05-12 17:05:00 UTC,14:13:15,EXC,RET,C,0,0,0,0,0,0,0,0,5682039,,,,454160,0,0,1,0,0,0,0,0,,,,3103940,,0,,,0,0,0,0,149,0,0,22.70999908,0,0,0,,0,0,0,17,2019-05-12 17:05:00 UTC,1,44.49000168,1,0,,,,,,,
1655035131,541792009,2543:1:20190508:12023,AW,AT,3,2543,1,2019-05-08 17:05:00 UTC,19:57:56,EXC,RET,C,0,1E+12,2E+12,2.63435E+31,0,1E+12,2E+12,2.63435E+31,19472868,,,,333170,0,0,1,0,0,0,0,0,,,,3109244,,0,,,1E+12,2E+12,2.63435E+31,0,139,0,0,20.59000015,0,0,0,,0,0,539794746,17,2019-05-08 17:05:00 UTC,1,69.5,1,2543,,,,,,,
1655035130,541792009,2543:1:20190508:12023,AW,AT,1,2543,1,2019-05-08 17:05:00 UTC,19:57:56,EXC,RET,C,0,1E+12,2E+12,2.63435E+31,0,1E+12,2E+12,2.63435E+31,19472868,,,,333170,0,0,1,0,0,0,0,0,,,,3111643,,0,,,1E+12,2E+12,2.63435E+31,0,139,1,69.5,20.59000015,69.5,0,0,,0,69.5,0,,,0,0,1,0,,,,,,,
